,ticker,dividendo,yeld,soma_yield_12m,rentabilidade,setor,valor,liquidezmediadiaria,pvp,p_vpa,ativos,numero_cotista
0,AAGR11,1.3955,1.49,15.28,0.1771,Indefinido,92.57,14140.52,0.0,,0,0
1,AAZQ11,0.11,1.33,17.94,11.2787,Indefinido,8.18,349037.96,0.9468,0.9467592592592592,0,31088
2,ABCP11,0.65,0.78,9.76,12.4961,Shoppings,79.85,44137.22,0.7206,0.7206028336792708,1,13885
3,AFHI11,1.01,1.05,13.6,1.9643,Papéis,95.95,777313.22,1.0073,1.0091501893142618,14,38231
4,AGRX11,0.13,1.44,18.88,21.6447,Indefinido,8.89,352396.78,0.8606,0.8606001936108423,0,19345
5,AIEC11,0.34,0.63,8.36,3.8506,Lajes Corporativas,60.99,2774361.83,0.8029,0.8029225908372829,2,12672
6,AJFI11,0.05,0.6,8.91,11.1105,Shoppings,8.27,175896.13,0.7484,,12,20662
7,ALMI11,4.53,0.72,6.5,-5.7311,Lajes Corporativas,630.02,10783.27,0.3138,0.307810331731321,1,1868
8,ALZC11,0.107,1.38,16.6,0.731,Papéis,7.85,148070.83,0.8441,,14,10543
9,ALZR11,0.0836,0.78,10.06,4.5257,Misto,10.55,1575233.74,0.9906,0.9906103286384977,23,188609
10,APTO11,0.08,0.93,13.22,4.1752,Imóveis Residenciais,8.26,37931.83,0.8446,0.8445807770961146,3,7851
11,APXM11,0.5191,0.65,5.39,1.1632,Shoppings,78.2,50425.04,0.6075,,1,695
12,ARCT11,0.5,0.0,12.5547,0.0,Imóveis Industriais e Logísticos,87.13,1053903.45,0.8696,0.8733086098025459,9,43228
13,AROA11,0.0075,0.64,9.35,21.8188,Imóveis Industriais e Logísticos,1.3,7552.43,1.3684,,6,5384
14,ARRI11,0.07,1.02,16.37,13.5439,Papéis,6.33,174993.3,0.7572,0.7571770334928231,1,23867
15,ARTE11,0.0908,0.0,0.0,0.0,Misto,10.34,6950.33,0.9838,,0,760
16,ARXD11,0.09,1.13,15.3,15.6685,Papéis,7.83,79053.17,0.8576,,14,2017
17,ASMT11,0.077,1.12,0.0,-3.8264,Lajes Corporativas,4.1,12484.0,0.4146,,3,1
18,ASRF11,256.3287,0.0,0.0,0.0,Indefinido,10974.0,10974.0,1.1448,,2,95
19,ATSA11,0.15,0.26,3.25,2.5729,Shoppings,58.54,5254.59,0.793,0.7930100243836359,1,294
20,AURB11,0.45,0.0,0.0,0.0,Imóveis Comerciais - Outros,72.92,1666687.33,0.9018,,2,19
21,AZIN11,1.4,1.41,18.06,2.2152,FIP-IE,101.24,551605.87,0.0,,0,0
22,AZPE11,0.122,0.0,0.0,0.0,Papéis,0.0,,0.0,,9,1
